Key_Id,Year,Match_Id,Match_Name,Team1,Team2,Result,Home_Team_Name,Away_Team_Name,Winner,Stage_Name,Group_Name,Group_Stage,Knockout_Stage,Replayed,Replay,Match_Date,Stadium_Id,Stadium_Name,City_Name,Country_Name,Home_Team_Id,Home_Team_Code,Away_Team_Id,Away_Team_Code,Score,Home_Team_Score,Away_Team_Score,Home_Team_Score_Margin,Away_Team_Score_Margin,Extra_Time,Penalty_Shootout,Score_Penalties,Home_Team_Score_Penalties,Away_Team_Score_Penalties,Home_Team_Win,Away_Team_Win,Draw,Unique_Teams
84,1954,M-1954-09,Uruguay v Scotland,Uruguay,Scotland,home team win,Uruguay,Scotland,Uruguay,group stage,Group 3,1,0,0,0,6/19/1954,S-176,St. Jakob Stadium,Basel,Switzerland,T-81,URY,T-62,SCO,7–0,7,0,7,-7,0,0,0-0,0,0,1,0,0,El Salvador
85,1954,M-1954-10,Brazil v Yugoslavia,Brazil,Yugoslavia,draw,Brazil,Yugoslavia,Draw,group stage,Group 1,1,0,0,0,6/19/1954,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,T-09,BRA,T-84,YUG,1–1,1,1,0,0,1,0,0-0,0,0,0,0,1,Kuwait
86,1954,M-1954-11,Austria v Czechoslovakia,Austria,Czechoslovakia,home team win,Austria,Czechoslovakia,Austria,group stage,Group 3,1,0,0,0,6/19/1954,S-181,Hardturm Stadium,Zürich,Switzerland,T-05,AUT,T-20,CSK,5–0,5,0,5,-5,0,0,0-0,0,0,1,0,0,NULL
87,1954,M-1954-12,France v Mexico,France,Mexico,home team win,France,Mexico,France,group stage,Group 1,1,0,0,0,6/19/1954,S-178,Charmilles Stadium,Geneva,Switzerland,T-28,FRA,T-44,MEX,3–2,3,2,1,-1,0,0,0-0,0,0,1,0,0,NULL
88,1954,M-1954-13,Hungary v West Germany,Hungary,West Germany,home team win,Hungary,West Germany,Hungary,group stage,Group 2,1,0,0,0,6/20/1954,S-176,St. Jakob Stadium,Basel,Switzerland,T-34,HUN,T-83,DEU,8–3,8,3,5,-5,0,0,0-0,0,0,1,0,0,NULL
89,1954,M-1954-14,Turkey v South Korea,Turkey,South Korea,home team win,Turkey,South Korea,Turkey,group stage,Group 2,1,0,0,0,6/20/1954,S-178,Charmilles Stadium,Geneva,Switzerland,T-77,TUR,T-69,KOR,7–0,7,0,7,-7,0,0,0-0,0,0,1,0,0,NULL
90,1954,M-1954-15,Italy v Belgium,Italy,Belgium,home team win,Italy,Belgium,Italy,group stage,Group 4,1,0,0,0,6/20/1954,S-180,Cornaredo Stadium,Lugano,Switzerland,T-39,ITA,T-06,BEL,4–1,4,1,3,-3,0,0,0-0,0,0,1,0,0,NULL
91,1954,M-1954-16,England v Switzerland,England,Switzerland,home team win,England,Switzerland,England,group stage,Group 4,1,0,0,0,6/20/1954,S-177,Wankdorf Stadium,Bern,Switzerland,T-27,ENG,T-73,CHE,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
92,1954,M-1954-17,West Germany v Turkey,West Germany,Turkey,home team win,West Germany,Turkey,West Germany,group stage,Group 2,1,0,0,0,6/23/1954,S-181,Hardturm Stadium,Zürich,Switzerland,T-83,DEU,T-77,TUR,7–2,7,2,5,-5,0,0,0-0,0,0,1,0,0,NULL
93,1954,M-1954-18,Switzerland v Italy,Switzerland,Italy,home team win,Switzerland,Italy,Switzerland,group stage,Group 4,1,0,0,0,6/23/1954,S-176,St. Jakob Stadium,Basel,Switzerland,T-73,CHE,T-39,ITA,4–1,4,1,3,-3,0,0,0-0,0,0,1,0,0,NULL
94,1954,M-1954-19,Austria v Switzerland,Austria,Switzerland,home team win,Austria,Switzerland,Austria,quarter-finals,not applicable,0,1,0,0,6/26/1954,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,T-05,AUT,T-73,CHE,7–5,7,5,2,-2,0,0,0-0,0,0,1,0,0,NULL
95,1954,M-1954-20,Uruguay v England,Uruguay,England,home team win,Uruguay,England,Uruguay,quarter-finals,not applicable,0,1,0,0,6/26/1954,S-176,St. Jakob Stadium,Basel,Switzerland,T-81,URY,T-27,ENG,4–2,4,2,2,-2,0,0,0-0,0,0,1,0,0,NULL
96,1954,M-1954-21,Hungary v Brazil,Hungary,Brazil,home team win,Hungary,Brazil,Hungary,quarter-finals,not applicable,0,1,0,0,6/27/1954,S-177,Wankdorf Stadium,Bern,Switzerland,T-34,HUN,T-09,BRA,4–2,4,2,2,-2,0,0,0-0,0,0,1,0,0,NULL
97,1954,M-1954-22,West Germany v Yugoslavia,West Germany,Yugoslavia,home team win,West Germany,Yugoslavia,West Germany,quarter-finals,not applicable,0,1,0,0,6/27/1954,S-178,Charmilles Stadium,Geneva,Switzerland,T-83,DEU,T-84,YUG,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
98,1954,M-1954-23,Hungary v Uruguay,Hungary,Uruguay,home team win,Hungary,Uruguay,Hungary,semi-finals,not applicable,0,1,0,0,6/30/1954,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,T-34,HUN,T-81,URY,4–2,4,2,2,-2,1,0,0-0,0,0,1,0,0,NULL
